N,mean_m,T,interaction_type
25,0.010199999999999999,87.9396984924623,ferro
49,0.005612244897959183,87.9396984924623,ferro
100,0.005600000000000001,87.9396984924623,ferro
25,0.0092,88.44221105527637,ferro
49,0.011173469387755102,88.44221105527637,ferro
100,0.008225,88.44221105527637,ferro
25,0.009600000000000001,88.94472361809045,ferro
49,0.007959183673469388,88.94472361809045,ferro
100,0.01055,88.94472361809045,ferro
25,0.0063,89.44723618090451,ferro
49,0.010765306122448979,89.44723618090451,ferro
100,0.019025,89.44723618090451,ferro
25,0.005800000000000001,89.94974874371859,ferro
49,0.005510204081632653,89.94974874371859,ferro
100,0.007575000000000002,89.94974874371859,ferro
25,0.0079,90.45226130653265,ferro
49,0.0068367346938775515,90.45226130653265,ferro
100,0.014450000000000001,90.45226130653265,ferro
25,0.005400000000000002,90.95477386934672,ferro
49,0.006683673469387754,90.95477386934672,ferro
100,0.008175,90.95477386934672,ferro
25,0.004400000000000004,91.4572864321608,ferro
49,0.007959183673469388,91.4572864321608,ferro
100,0.010700000000000001,91.4572864321608,ferro
25,0.0114,91.95979899497486,ferro
49,0.00943877551020408,91.95979899497486,ferro
100,0.010100000000000001,91.95979899497486,ferro
25,0.006200000000000001,92.46231155778894,ferro
49,0.0072959183673469395,92.46231155778894,ferro
100,0.0187,92.46231155778894,ferro
25,0.0060999999999999995,92.96482412060301,ferro
49,0.007551020408163265,92.96482412060301,ferro
100,0.0177,92.96482412060301,ferro
25,0.0043,93.46733668341707,ferro
49,0.007091836734693876,93.46733668341707,ferro
100,0.009499999999999998,93.46733668341707,ferro
25,0.007000000000000001,93.96984924623115,ferro
49,0.006224489795918371,93.96984924623115,ferro
100,0.015225,93.96984924623115,ferro
25,0.0109,94.47236180904522,ferro
49,0.003775510204081632,94.47236180904522,ferro
100,0.011799999999999998,94.47236180904522,ferro
25,0.0114,94.97487437185929,ferro
49,0.008316326530612244,94.97487437185929,ferro
100,0.008475,94.97487437185929,ferro
25,0.0087,95.47738693467336,ferro
49,0.0111734693877551,95.47738693467336,ferro
100,0.01875,95.47738693467336,ferro
25,0.004900000000000001,95.97989949748742,ferro
49,0.009693877551020406,95.97989949748742,ferro
100,0.014825000000000001,95.97989949748742,ferro
25,0.0101,96.4824120603015,ferro
49,0.0074489795918367355,96.4824120603015,ferro
100,0.004525,96.4824120603015,ferro
25,0.006500000000000002,96.98492462311557,ferro
49,0.01051020408163265,96.98492462311557,ferro
100,0.0091,96.98492462311557,ferro
25,0.012800000000000002,97.48743718592964,ferro
49,0.00693877551020408,97.48743718592964,ferro
100,0.018349999999999998,97.48743718592964,ferro
25,0.008400000000000001,97.98994974874371,ferro
49,0.003826530612244898,97.98994974874371,ferro
100,0.008075,97.98994974874371,ferro
25,0.011799999999999998,98.49246231155777,ferro
49,0.005102040816326531,98.49246231155777,ferro
100,0.0076,98.49246231155777,ferro
25,0.0086,98.99497487437185,ferro
49,0.007551020408163267,98.99497487437185,ferro
100,0.006875000000000002,98.99497487437185,ferro
25,0.012500000000000002,99.49748743718592,ferro
49,0.007091836734693878,99.49748743718592,ferro
100,0.009975000000000001,99.49748743718592,ferro
25,0.0033999999999999994,100.0,ferro
49,0.006887755102040815,100.0,ferro
100,0.007199999999999999,100.0,ferro
