L,mean_m,T,interaction_type
7,0.013112244897959185,3.111111111111111,ferro
10,0.007325,3.111111111111111,ferro
5,0.08000000000000002,3.151515151515152,ferro
7,0.013979591836734693,3.151515151515152,ferro
10,0.013125000000000001,3.151515151515152,ferro
5,0.0832,3.191919191919192,ferro
7,0.01433673469387755,3.191919191919192,ferro
10,0.0053,3.191919191919192,ferro
5,0.07850000000000001,3.2323232323232327,ferro
7,0.007193877551020408,3.2323232323232327,ferro
10,0.0058000000000000005,3.2323232323232327,ferro
5,0.0557,3.272727272727273,ferro
7,0.009132653061224492,3.272727272727273,ferro
10,0.0097,3.272727272727273,ferro
5,0.0634,3.3131313131313136,ferro
7,0.017755102040816324,3.3131313131313136,ferro
10,0.007900000000000003,3.3131313131313136,ferro
5,0.06060000000000001,3.353535353535354,ferro
7,0.012653061224489793,3.353535353535354,ferro
10,0.010174999999999998,3.353535353535354,ferro
5,0.059300000000000005,3.393939393939394,ferro
7,0.007193877551020409,3.393939393939394,ferro
10,0.012275000000000001,3.393939393939394,ferro
5,0.062,3.4343434343434347,ferro
7,0.013571428571428571,3.4343434343434347,ferro
10,0.008925,3.4343434343434347,ferro
5,0.0634,3.474747474747475,ferro
7,0.009897959183673472,3.474747474747475,ferro
10,0.006949999999999998,3.474747474747475,ferro
5,0.05449999999999999,3.5151515151515156,ferro
7,0.004642857142857145,3.5151515151515156,ferro
10,0.007425000000000001,3.5151515151515156,ferro
5,0.0606,3.555555555555556,ferro
7,0.006785714285714287,3.555555555555556,ferro
10,0.013175000000000001,3.555555555555556,ferro
5,0.06060000000000001,3.5959595959595965,ferro
7,0.013010204081632655,3.5959595959595965,ferro
10,0.009125000000000001,3.5959595959595965,ferro
5,0.0478,3.6363636363636367,ferro
7,0.012602040816326533,3.6363636363636367,ferro
10,0.008450000000000003,3.6363636363636367,ferro
5,0.0683,3.676767676767677,ferro
7,0.010612244897959186,3.676767676767677,ferro
10,0.012825,3.676767676767677,ferro
5,0.0466,3.7171717171717176,ferro
7,0.010408163265306122,3.7171717171717176,ferro
10,0.009325,3.7171717171717176,ferro
5,0.0611,3.757575757575758,ferro
7,0.0036734693877551023,3.757575757575758,ferro
10,0.011775,3.757575757575758,ferro
5,0.0527,3.7979797979797985,ferro
7,0.011071428571428572,3.7979797979797985,ferro
10,0.010025,3.7979797979797985,ferro
5,0.0542,3.8383838383838387,ferro
7,0.00346938775510204,3.8383838383838387,ferro
10,0.008125,3.8383838383838387,ferro
5,0.0509,3.878787878787879,ferro
7,0.003979591836734696,3.878787878787879,ferro
10,0.00785,3.878787878787879,ferro
5,0.0436,3.9191919191919196,ferro
7,0.010561224489795917,3.9191919191919196,ferro
10,0.005924999999999999,3.9191919191919196,ferro
5,0.0479,3.95959595959596,ferro
7,0.0063265306122448975,3.95959595959596,ferro
10,0.009600000000000003,3.95959595959596,ferro
5,0.0635,4.0,ferro
7,0.016479591836734694,4.0,ferro
10,0.004000000000000001,4.0,ferro
