p,mean_m,T,interaction_type
0.3,0.00635,3.5353535353535355,antiferro
0.6,0.0020999999999999994,3.5353535353535355,antiferro
0.9,0.0004000000000000001,3.5353535353535355,antiferro
0.3,0.004350000000000001,3.6363636363636362,antiferro
0.6,0.0073,3.6363636363636362,antiferro
0.9,0.0021999999999999997,3.6363636363636362,antiferro
0.3,0.00425,3.7373737373737375,antiferro
0.6,0.0029,3.7373737373737375,antiferro
0.9,0.00020000000000000017,3.7373737373737375,antiferro
0.3,0.00345,3.8383838383838382,antiferro
0.6,0.00425,3.8383838383838382,antiferro
0.9,0.00045,3.8383838383838382,antiferro
0.3,0.0016499999999999998,3.9393939393939394,antiferro
0.6,0.005350000000000001,3.9393939393939394,antiferro
0.9,0.0010999999999999998,3.9393939393939394,antiferro
0.3,0.00545,4.040404040404041,antiferro
0.6,0.0004000000000000001,4.040404040404041,antiferro
0.9,0.0002499999999999994,4.040404040404041,antiferro
0.3,0.006150000000000001,4.141414141414141,antiferro
0.6,0.0025,4.141414141414141,antiferro
0.9,0.00145,4.141414141414141,antiferro
0.3,0.0051,4.242424242424242,antiferro
0.6,0.0056500000000000005,4.242424242424242,antiferro
0.9,0.0002499999999999998,4.242424242424242,antiferro
0.3,0.006750000000000001,4.343434343434343,antiferro
0.6,0.00025000000000000006,4.343434343434343,antiferro
0.9,0.0012000000000000001,4.343434343434343,antiferro
0.3,0.0091,4.444444444444445,antiferro
0.6,0.0012000000000000008,4.444444444444445,antiferro
0.9,0.00025000000000000006,4.444444444444445,antiferro
0.3,0.007749999999999999,4.545454545454545,antiferro
0.6,0.0036000000000000003,4.545454545454545,antiferro
0.9,0.0009000000000000001,4.545454545454545,antiferro
0.3,0.00415,4.646464646464646,antiferro
0.6,0.002599999999999999,4.646464646464646,antiferro
0.9,0.00115,4.646464646464646,antiferro
0.3,0.0012499999999999994,4.747474747474747,antiferro
0.6,0.00115,4.747474747474747,antiferro
0.9,0.0008000000000000001,4.747474747474747,antiferro
0.3,0.0049499999999999995,4.848484848484849,antiferro
0.6,0.0011999999999999995,4.848484848484849,antiferro
0.9,0.0004499999999999997,4.848484848484849,antiferro
0.3,0.0021,4.94949494949495,antiferro
0.6,0.0011500000000000002,4.94949494949495,antiferro
0.9,0.00020000000000000017,4.94949494949495,antiferro
0.3,0.0050500000000000015,5.05050505050505,antiferro
0.6,0.00275,5.05050505050505,antiferro
0.9,0.0003500000000000001,5.05050505050505,antiferro
0.3,0.0057,5.151515151515151,antiferro
0.6,0.0008499999999999997,5.151515151515151,antiferro
